"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"AMAZON ADVERTISING LLC",1,0,0,0,45,9823,WA,SEATTLE,22202
2022,"AMAZON ADVERTISING LLC",23,0,59,2,45,9823,VA,ARLINGTON,22202
2022,"AMAZON ADVERTISING LLC",1,0,13,2,45,9823,WA,SEATTLE,98121
2022,"AMAZON CAPITAL SERVICES INC",0,0,0,1,45,8644,VA,ARLINGTON,22202
2022,"AMAZON CAPITAL SERVICES INC",1,0,1,0,45,8644,WA,SEATTLE,98121
2022,"AMAZON COM SERVICES LLC",661,22,2619,45,45,4687,WA,SEATTLE,98121
2022,"AMAZON COM SERVICES LLC",1,0,0,0,45,4697,WA,SEATTLE,98121
2022,"AMAZON COM SERVICES LLC",0,0,1,0,45,5687,WA,SEATTLE,98121
2022,"AMAZON COM SERVICES LLC",0,0,1,0,45,4687,VA,ARLINGTON,22201
2022,"AMAZON COM SERVICES LLC",420,3,1720,11,45,4687,VA,ARLINGTON,22202
2022,"AMAZON COM SERVICES LLC",0,0,1,0,54,4687,VA,ARLINGTON,22202
2022,"AMAZON COM SERVICES LLC",0,0,1,0,45,4687,WA,SEATTLE,98112
2022,"AMAZON COM SERVICES LLC",0,0,1,0,45,4687,WA,SEATTLE,98101
2022,"AMAZON COM SERVICES LLC",2,0,4,0,51,4687,WA,SEATTLE,98121
2022,"AMAZON COM SERVICES LLC",0,0,1,0,45,4687,WA,SEATTLE,98109
2022,"AMAZON DATA SERVICES INC",62,0,131,2,51,6543,VA,ARLINGTON,22202
2022,"AMAZON DATA SERVICES INC",6,0,143,3,45,6543,VA,ARLINGTON,22202
2022,"AMAZON DATA SERVICES INC",1,0,0,0,51,6543,WA,SEATTLE,98109
2022,"AMAZON DATA SERVICES INC",0,0,48,1,45,6543,WA,SEATTLE,98121
2022,"AMAZON DATA SERVICES INC",13,0,36,0,51,6543,WA,SEATTLE,98121
2022,"AMAZON DATA SERVICES INC",0,0,1,0,45,6543,PA,WEXFORD,15090
2022,"AMAZON DEVELOPMENT CENTER US INC",63,0,545,5,45,4306,VA,ARLINGTON,22202
2022,"AMAZON DEVELOPMENT CENTER US INC",1,0,0,0,51,4306,WA,SEATTLE,98109
2022,"AMAZON DEVELOPMENT CENTER US INC",341,3,210,0,51,4306,VA,ARLINGTON,22202
2022,"AMAZON DEVELOPMENT CENTER US INC",7,0,142,3,45,4306,WA,SEATTLE,98121
2022,"AMAZON DEVELOPMENT CENTER US INC",0,0,1,0,51,4306,NY,"NEW YORK",10036
2022,"AMAZON DEVELOPMENT CENTER US INC",41,0,47,0,51,4306,WA,SEATTLE,98121
2022,"AMAZON DEVELOPMENT CENTER US INC",1,0,0,0,54,4306,VA,ARLINGTON,22202
2022,"AMAZON DEVELOPMENT CENTER US INC",1,0,0,0,51,4306,WA,SEATTLE,22202
2022,"AMAZON DEVELOPMENT CENTER US INC",5,0,0,0,45,6860,VA,ARLINGTON,22202
2022,"AMAZON MECHANICAL TURK INC",1,0,1,0,45,4202,VA,ARLINGTON,22202
2022,"AMAZON MECHANICAL TURK INC",1,0,0,0,45,4202,WA,SEATTLE,98121
2022,"AMAZON MECHANICAL TURK INC",1,0,0,0,99,4202,WA,SEATTLE,98121
2022,"AMAZON MEDIA VENTURE LLC",2,0,4,0,45,4334,VA,ARLINGTON,22202
2022,"AMAZON MEDIA VENTURE LLC",1,0,0,0,51,4334,VA,ARLINGTON,22202
2022,"AMAZON PAYMENTS INC",1,0,0,0,51,8068,VA,ARLINGTON,22202
2022,"AMAZON PAYMENTS INC",2,0,6,0,45,6165,VA,ARLINGTON,22202
2022,"AMAZON PAYMENTS INC",1,0,1,0,45,6165,WA,SEATTLE,98121
2022,"AMAZON REGISTRY SERVICES INC",0,0,2,0,45,3537,VA,ARLINGTON,22202
2022,"AMAZON ROBOTICS LLC",0,0,1,0,45,3087,VA,ARLINGTON,22202
2022,"AMAZON ROBOTICS LLC",0,0,1,0,45,3087,WA,SEATTLE,98121
