,OPT or STEM OPT in 2019,Participating in OPT in 2019,STEM OPT in 2019
Amazon,"2,813",569,"2,431"
Google,"1,123",268,955
AZTech Technologies LLC,"1,057",734,368
Deloitte,822,215,676
Microsoft Corporation,817,191,700
Intel Corporation,790,174,690
Integra Technologies LLC,721,169,575
Facebook,708,185,612
"Apple, Inc",463,126,378
Walmart,441,125,358
Veridic Solutions,424,148,307
IBM,402,61,373
Randstad,383,150,249
PricewaterhouseCoopers,380,98,308
"Marlabs, Inc",373,110,285
Goldman Sachs,363,100,301
Ernst & Young,360,104,278
Robert Half,358,252,116
Massachusetts Institute of Technology,345,145,228
Cloud Big Data,331,171,181
Populus Group,325,76,274
"Cisco System, Inc",320,64,281
XCG Design Corporation,320,119,201
Stanford University,316,116,226
"Masswell Development Group, Inc",314,263,66
JP Morgan Chase,308,51,270
Citigroup,286,70,241
Johns Hopkins University,275,115,169
Cerner Corporation,272,60,235
Cognizant,272,66,225
"Tesla, Inc",271,59,230
Columbia University,262,128,148
Cummins,249,61,212
Pioneer Consulting Services,249,42,222
Modis E&T LLC,248,38,220
University of Florida,240,163,82
Wayfair,234,68,185
University of Pennsylvania,231,74,172
Oracle,230,60,182
Arizona State University,225,181,69
"University of California, Los Angeles",225,113,128
"Qualcomm Technologies, Inc",222,47,194
"Antra, Inc",218,34,196
Apex Systems,216,103,129
University of Maryland,215,103,129
Insight Global,210,112,103
Inxech Corp,208,81,134
"Tellon Trading, Inc",207,82,126
University of Washington,198,81,127
Bloomberg,197,32,173
University of Minnesota,195,97,106
University of Southern California,195,121,90
Cornell University,194,131,79
Northwestern University,193,81,121
"Uber Technologies, Inc",193,51,152
"University of California, Berkeley",191,92,119
University of Michigan,190,108,91
E-Giants Technologies LLC,180,32,152
Capgemini America,175,17,162
"University of California, San Diego",175,95,95
Purdue University,173,94,87
Kelly Services,172,94,90
Collabera,169,81,99
eBay or PayPal,166,47,134
Massachusetts General Hospital,164,32,143
Adecco,161,73,98
Indiana University,156,75,87
North Carolina State University,155,110,47
University of Pittsburgh,151,83,69
CG Max Design Corp,150,11,140
Acuty LLC,149,112,41
Rutgers University,147,93,59
Oath,146,27,128
Morgan Stanley,144,41,110
Michigan State University,143,73,78
Yale University,143,55,106
University of Illinois at Chicago,141,129,14
McKinsey & Company,140,37,106
Tata Consultancy Services Limited,140,57,91
"Aerotek, Inc",139,130,11
Infosys Limited,138,53,90
"Dell, Inc",135,22,122
FedEx Services,134,24,121
University of California San Francisco,134,36,107
Carnegie Mellon University,132,132,
Georgia Institute of Technology,131,62,77
Sinocontech,130,65,66
"California Creative Solutions, Inc",129,12,119
Capital One,129,32,101
Duke University,129,64,72
Northeastern University,128,88,45
Inteliroute Technologies LLC,125,42,103
Bank of America,124,48,84
Elbum LLC,124,71,53
"Findream, LLC",124,27,98
National Institutes of Health,123,26,110
Pro-Tek Consulting,123,30,102
"Global IT Experts, Inc",121,106,15
Arecy LLC,115,70,45
"BSASPEC, Inc",115,46,73
University at Buffalo,115,114,1
Nemo IT Solutions,113,77,49
"SAP America, Inc",113,34,83
Applied Materials,112,22,100
VMWare,112,24,96
California Institute of Technology,110,42,77
University of Utah,110,53,58
Boston Consulting Group,108,27,84
"Synopsys, Inc",108,24,97
University of Illinois at Urbana,108,60,57
"Amensys, Inc",107,17,98
"Expedia, Inc",107,18,95
JNIT Technologies,106,14,97
"Egen Solutions, Inc",105,42,72
"Vyzer Solutions, Inc",105,12,102
"Micron Technology, Inc",104,36,77
"University of California, Davis",104,56,51
Illinois Institute of technology,103,96,8
University of Houston,101,70,32
Aecom,100,20,87
Artech Information Systems LLC,100,31,78
Iowa State University,99,53,60
"Vintech Solutions, Inc",99,29,82
Baylor College of Medicine,98,31,74
Memorial Sloan Kettering Cancer Center,98,22,87
University of Arizona,98,59,42
"Baanyan Software Services, Inc",97,33,69
Florida International University,96,66,40
World Bank,96,94,2
Federal Soft Systems,95,14,85
LinkedIn,95,14,86
Sakthi Automotive Group,95,28,78
"IMCS Group, Inc",94,36,65
Lawrence Berkeley National Laboratory,94,34,69
Washington University in St. Louis,94,33,64
Harvard University,93,29,66
Binghamton University,92,92,0
Mythri Consulting LLC,92,25,78
CloudData Technology LLC,91,70,24
Juniper Network,91,16,78
Brigham and Womens Hospital,90,27,68
Disney,90,89,1
Flexon Technologies,90,39,60
Itlize Global LLC,90,20,73
"Mercury Systems, Inc.",89,26,73
Softworld Technologies LLC,88,36,60
"The Mathworks, Inc",88,17,79
Clemson University,87,53,34
Samsung Research America,87,22,70
Virginia Tech,87,50,41
Volt Management Corporation,87,13,77
Wayne State University,87,66,23
New York University,86,86,0
Colorado State University,85,61,30
"Friendly Consultants, Inc",85,15,77
"HCL America, Inc",85,24,65
NVIDIA Corporation,85,24,67
"Pyramid Consulting, Inc",85,32,63
Barclays,84,26,67
"HP, Inc",84,25,65
"Denken Solutions, Inc",83,14,74
Salesforce,83,26,63
University of Kentucky,83,42,49
Boston University,82,64,19
Vanderbilt University,82,29,58
Weill Cornell Medical College,82,26,64
Primary Research Solution LLC,81,63,19
"Remote Tiger, Inc",81,18,69
